iter	Passed	Remaining
0	0	2836
1	1	2944
2	2	2851
3	3	2877
4	4	2749
5	5	2652
6	6	2643
7	7	2645
8	7	2621
9	8	2617
10	9	2625
11	10	2623
12	11	2599
13	12	2594
14	13	2592
15	13	2597
16	14	2584
17	15	2579
18	16	2568
19	17	2561
20	17	2551
21	18	2566
22	19	2577
23	21	2614
24	22	2639
25	23	2662
26	24	2747
27	25	2756
28	27	2795
29	28	2809
30	29	2800
31	30	2811
32	31	2811
33	32	2796
34	32	2786
35	33	2795
36	34	2798
37	36	2806
38	36	2796
39	37	2789
40	38	2795
41	39	2793
42	40	2797
43	41	2796
44	42	2804
45	43	2795
46	44	2789
47	45	2784
48	46	2778
49	47	2782
50	47	2772
51	48	2758
52	49	2755
53	50	2750
54	51	2746
55	52	2735
56	52	2728
57	53	2720
58	54	2714
59	55	2711
60	56	2708
61	57	2704
62	57	2701
63	58	2693
64	59	2687
65	60	2687
66	61	2694
67	62	2694
68	63	2709
69	64	2712
70	65	2715
71	66	2724
72	67	2726
73	68	2725
74	69	2719
75	70	2716
76	71	2713
77	72	2715
78	73	2711
79	74	2706
80	75	2718
81	76	2719
82	77	2717
83	78	2712
84	78	2705
85	79	2698
86	80	2692
87	81	2683
88	81	2677
89	82	2669
90	83	2663
91	84	2655
92	84	2648
93	85	2649
94	86	2638
95	86	2630
96	87	2621
97	88	2613
98	89	2610
99	90	2616
100	91	2614
101	91	2612
102	92	2605
103	93	2599
104	94	2601
105	95	2600
106	96	2599
107	97	2600
108	98	2601
109	99	2603
110	99	2600
111	100	2593
112	101	2584
113	101	2577
114	102	2574
115	103	2571
116	104	2566
117	104	2560
118	105	2561
119	106	2556
120	107	2549
121	107	2543
122	108	2537
123	109	2529
124	109	2524
125	110	2517
126	111	2511
127	111	2507
128	112	2506
129	113	2499
130	113	2494
131	114	2486
132	115	2479
133	115	2473
134	116	2465
135	116	2459
136	117	2453
137	117	2446
138	118	2440
139	119	2433
140	119	2426
141	120	2418
142	120	2412
143	121	2404
144	121	2399
145	122	2396
146	123	2394
147	124	2390
148	124	2385
149	125	2380
150	125	2375
151	126	2370
152	127	2364
153	127	2359
154	128	2356
155	128	2351
156	129	2345
157	130	2341
158	130	2336
159	131	2331
160	131	2326
161	132	2322
162	133	2316
163	133	2312
164	134	2308
165	134	2302
166	135	2297
167	136	2292
168	136	2287
169	137	2284
170	137	2279
171	138	2274
172	138	2270
173	139	2266
174	140	2263
175	140	2261
176	141	2258
177	142	2253
178	142	2249
179	143	2245
180	143	2242
181	144	2242
182	145	2238
183	146	2239
184	147	2239
185	147	2237
186	148	2234
187	149	2232
188	149	2228
189	150	2227
190	151	2225
191	152	2226
192	153	2232
193	154	2234
194	155	2236
195	156	2235
196	156	2233
197	157	2230
198	158	2229
199	159	2226
200	159	2221
201	160	2217
202	160	2214
203	161	2211
204	162	2211
205	162	2208
206	163	2205
207	164	2203
208	164	2201
209	165	2197
210	166	2195
211	166	2193
212	167	2191
213	168	2190
214	168	2186
215	169	2184
216	170	2181
217	170	2179
218	171	2176
219	171	2172
220	172	2170
221	173	2167
222	173	2163
223	174	2161
224	175	2159
225	175	2155
226	176	2155
227	176	2151
228	177	2148
229	178	2145
230	178	2143
231	179	2140
232	179	2137
233	180	2134
234	181	2131
235	181	2128
236	182	2126
237	183	2124
238	183	2122
239	184	2119
240	184	2116
241	185	2113
242	186	2110
243	186	2107
244	187	2104
245	187	2101
246	188	2098
247	188	2096
248	189	2094
249	190	2092
250	190	2089
251	191	2087
252	191	2084
253	192	2081
254	193	2078
255	193	2076
256	194	2074
257	194	2071
258	195	2068
259	195	2064
260	196	2061
261	197	2059
262	197	2056
263	198	2053
264	198	2050
265	199	2048
266	199	2045
267	200	2041
268	200	2038
269	201	2035
270	201	2032
271	202	2032
272	203	2031
273	203	2029
274	204	2028
275	205	2025
276	205	2022
277	206	2019
278	206	2017
279	207	2014
280	207	2012
281	208	2010
282	209	2007
283	209	2005
284	210	2002
285	210	2001
286	211	2000
287	212	2000
288	213	2000
289	213	1998
290	214	1996
291	215	1994
292	215	1992
293	216	1990
294	216	1988
295	217	1987
296	218	1987
297	218	1985
298	219	1983
299	220	1981
300	220	1978
301	221	1976
302	221	1973
303	222	1971
304	222	1968
305	223	1966
306	223	1963
307	224	1960
308	224	1958
309	225	1956
310	225	1953
311	226	1951
312	227	1949
313	227	1947
314	228	1945
315	228	1943
316	229	1942
317	230	1940
318	230	1937
319	230	1934
320	231	1931
321	232	1929
322	232	1928
323	233	1927
324	234	1926
325	234	1924
326	235	1923
327	235	1921
328	236	1921
329	237	1920
330	237	1918
331	238	1917
332	239	1916
333	239	1914
334	240	1913
335	241	1912
336	241	1912
337	242	1910
338	243	1908
339	243	1906
340	244	1905
341	244	1903
342	245	1901
343	246	1900
344	246	1898
345	247	1898
346	248	1896
347	248	1894
348	249	1893
349	249	1891
350	250	1889
351	250	1888
352	251	1886
353	252	1886
354	253	1885
355	253	1885
356	254	1885
357	255	1884
358	255	1882
359	256	1881
360	257	1881
361	257	1879
362	258	1878
363	259	1877
364	259	1875
365	260	1873
366	260	1871
367	261	1869
368	261	1866
369	262	1864
370	263	1863
371	263	1862
372	264	1860
373	264	1858
374	265	1856
375	265	1854
376	266	1852
377	266	1850
378	267	1848
379	267	1846
380	268	1844
381	268	1843
382	269	1841
383	269	1838
384	270	1836
385	270	1833
386	271	1831
387	271	1828
388	272	1825
389	272	1823
390	272	1820
391	273	1818
392	273	1815
393	274	1813
394	274	1811
395	275	1809
396	275	1806
397	276	1804
398	276	1802
399	276	1799
400	277	1798
401	277	1795
402	278	1793
403	278	1791
404	279	1789
405	279	1787
406	280	1785
407	280	1783
408	281	1781
409	281	1779
410	282	1777
411	282	1775
412	283	1773
413	283	1771
414	284	1769
415	284	1767
416	284	1764
417	285	1763
418	285	1761
419	286	1758
420	286	1756
421	287	1754
422	287	1752
423	288	1750
424	288	1748
425	288	1745
426	289	1744
427	289	1742
428	290	1740
429	290	1739
430	291	1737
431	291	1735
432	292	1733
433	292	1731
434	293	1729
435	293	1727
436	294	1725
437	294	1723
438	295	1721
439	295	1719
440	295	1717
441	296	1715
442	296	1714
443	297	1712
444	297	1710
445	298	1709
446	299	1708
447	299	1706
448	300	1705
449	300	1704
450	301	1702
451	301	1700
452	302	1699
453	302	1697
454	303	1695
455	303	1694
456	304	1692
457	304	1690
458	305	1689
459	305	1687
460	306	1686
461	306	1684
462	307	1682
463	307	1680
464	308	1679
465	308	1677
466	308	1675
467	309	1674
468	309	1672
469	310	1670
470	310	1668
471	311	1666
472	311	1665
473	312	1664
474	312	1662
475	313	1660
476	313	1658
477	314	1657
478	314	1655
479	314	1653
480	315	1651
481	315	1649
482	316	1647
483	316	1646
484	317	1645
485	317	1643
486	318	1642
487	318	1640
488	319	1638
489	319	1637
490	320	1636
491	320	1634
492	321	1633
493	321	1631
494	322	1630
495	322	1628
496	323	1627
497	323	1625
498	323	1623
499	324	1621
500	324	1620
501	325	1618
502	325	1616
503	326	1615
504	326	1614
505	327	1612
506	327	1611
507	328	1609
508	328	1607
509	328	1605
510	329	1604
511	329	1602
512	330	1601
513	330	1599
514	331	1597
515	331	1596
516	331	1594
517	332	1592
518	332	1591
519	333	1589
520	333	1588
521	334	1587
522	334	1585
523	335	1584
524	335	1582
525	336	1580
526	336	1578
527	336	1577
528	337	1575
529	337	1574
530	338	1572
531	338	1570
532	339	1569
533	339	1567
534	340	1566
535	340	1565
536	341	1564
537	341	1562
538	341	1561
539	342	1560
540	342	1558
